artist,title,venue,sido,sgg,start,end,n,type,conf,source,status
BTS,BTS WORLD TOUR 'ARIRANG' IN GOYANG,고양종합운동장,경기,고양시,2026-04-09,2026-04-12,3,콘서트,A,https://en.wikipedia.org/wiki/Arirang_World_Tour,수집
BTS,BTS WORLD TOUR 'ARIRANG' IN BUSAN,부산아시아드주경기장,부산,연제구,2026-06-12,2026-06-13,2,콘서트,A,https://en.wikipedia.org/wiki/Arirang_World_Tour,수집
TWICE,2024 TWICE FANMEETING [HOME 9ROUND],올림픽홀,서울,송파구,2024-10-20,2024-10-20,1,팬미팅,A,https://m.ticket.yes24.com/Perf/51057,수집
TWICE,TWICE <THIS IS FOR> WORLD TOUR in INCHEON,인스파이어 아레나,인천,중구,2025-07-19,2025-07-20,2,콘서트,A,https://en.wikipedia.org/wiki/This_Is_For_World_Tour,수집
TWICE,TWICE <THIS IS FOR> WORLD TOUR FINALE in SEOUL,KSPO DOME,서울,송파구,2026-07-10,2026-07-12,3,콘서트,A,https://en.wikipedia.org/wiki/This_Is_For_World_Tour,수집
임영웅,2024 임영웅 콘서트 [IM HERO - THE STADIUM],서울월드컵경기장,서울,마포구,2024-05-25,2024-05-26,2,콘서트,A,https://www.starnewskorea.com/music/2024/04/10/2024041008044435912,수집
임영웅,임영웅 IM HERO TOUR 2025 - 인천,송도컨벤시아,인천,연수구,2025-10-17,2025-10-19,3,콘서트,A,https://www.stagepick.co.kr/performances/detail/203097,수집
임영웅,임영웅 IM HERO TOUR 2025 - 대구,EXCO 동관,대구,북구,2025-11-07,2025-11-09,3,콘서트,A,https://www.stagepick.co.kr/performances/detail/203098,수집
임영웅,임영웅 IM HERO TOUR 2025 - 서울,KSPO DOME,서울,송파구,2025-11-21,2025-11-30,6,콘서트,A,https://www.stagepick.co.kr/performances/detail/203099,수집
임영웅,임영웅 IM HERO TOUR 2025 - 광주,김대중컨벤션센터,광주,서구,2025-12-19,2025-12-21,3,콘서트,A,https://www.stagepick.co.kr/performances/detail/203100,수집
임영웅,임영웅 IM HERO TOUR 2025 - 대전,대전컨벤션센터(DCC) 제2전시장,대전,유성구,2026-01-02,2026-01-04,3,콘서트,A,https://www.stagepick.co.kr/performances/detail/203101,수집
임영웅,임영웅 IM HERO 전국투어 콘서트 in 서울,고척스카이돔,서울,구로구,2026-01-16,2026-01-18,3,콘서트,A,https://www.newsis.com/view/NISX20260119_0003481793,수집
임영웅,임영웅 IM HERO TOUR 2025 - 부산,벡스코 제1전시장,부산,해운대구,2026-02-06,2026-02-08,3,콘서트,A,https://www.stagepick.co.kr/performances/detail/208550,수집
임영웅,2026 임영웅 콘서트 [IM HERO - THE STADIUM 2] IN GOYANG,고양종합운동장,경기,고양시,2026-09-04,2026-09-06,3,콘서트,A,https://www.mediapen.com/news/view/1104842,수집
BLACKPINK,BLACKPINK WORLD TOUR <DEADLINE> IN GOYANG,고양종합운동장,경기,고양시,2025-07-05,2025-07-06,2,콘서트,A,https://en.wikipedia.org/wiki/Deadline_World_Tour,수집
NCT,2024 NCT DREAM WORLD TOUR <THE DREAM SHOW 3 : DREAM( )SCAPE>,고척스카이돔,서울,구로구,2024-05-02,2024-05-04,3,콘서트,A,https://en.wikipedia.org/wiki/The_Dream_Show_3:_Dream(_)scape,수집
NCT,NCT WISH : SCHOOL of WISH 1ST FANMEETING - 서울,,서울,,2024-05-25,2024-05-26,1,팬미팅,B,https://www.sportsworldi.com/newsView/20240419507156,수집
NCT,NCT WISH : SCHOOL of WISH 1ST FANMEETING - 부산,,부산,,2024-06-01,2024-06-01,1,팬미팅,B,https://www.sportsworldi.com/newsView/20240419507156,수집
NCT,NCT WISH : SCHOOL of WISH 1ST FANMEETING - 전주,,전북,전주시,2024-06-08,2024-06-08,1,팬미팅,B,https://www.sportsworldi.com/newsView/20240419507156,수집
NCT,NCT WISH : SCHOOL of WISH 1ST FANMEETING - 대구,,대구,,2024-06-15,2024-06-15,1,팬미팅,B,https://www.sportsworldi.com/newsView/20240419507156,수집
NCT,NCT WISH : SCHOOL of WISH 1ST FANMEETING - 청주,,충북,청주시,2024-06-22,2024-06-22,1,팬미팅,B,https://www.sportsworldi.com/newsView/20240419507156,수집
NCT,2024 NCT DREAM WORLD TOUR <THE DREAM SHOW 3 : DREAMSCAPE> FINALE in SEOUL,고척스카이돔,서울,구로구,2024-11-29,2024-12-01,3,콘서트,A,https://en.wikipedia.org/wiki/The_Dream_Show_3:_Dream(_)scape,수집
NCT,NCT 127 4TH TOUR 'NEO CITY - THE MOMENTUM' IN SEOUL,고척스카이돔,서울,구로구,2025-01-18,2025-01-19,2,콘서트,A,https://en.wikipedia.org/wiki/Neo_City_%E2%80%93_The_Momentum,수집
NCT,2025 NCT WISH ASIA TOUR 'LOG in' SEOUL,올림픽공원 핸드볼경기장,서울,송파구,2025-03-21,2025-03-23,3,콘서트,A,https://x.com/melonticket_kor/status/1876856357812392215,수집
NCT,NCT DREAM WORLD TOUR <THE DREAM SHOW 4 : DREAM THE FUTURE> in SEOUL,고척스카이돔,서울,구로구,2025-07-10,2025-07-12,3,콘서트,A,https://en.wikipedia.org/wiki/The_Dream_Show_4:_Dream_the_Future,수집
NCT,NCT WISH 1st CONCERT TOUR 'INTO THE WISH : Our WISH' in SEOUL,,서울,,2025-10-31,2025-11-02,3,콘서트,B,https://www.mksports.co.kr/news/entertain/11951462,수집
NCT,NCT WISH 2ND ANNIVERSARY FANMEETING,서울종합운동장 실내체육관,서울,송파구,2026-02-21,2026-02-21,1,팬미팅,B,https://namu.wiki/w/NCT%20WISH/%EA%B3%B5%EC%97%B0%20%EB%B0%8F%20%ED%96%89%EC%82%AC,수집
NCT,NCT DREAM <THE DREAM SHOW 4 : DREAM THE FUTURE> FINALE in SEOUL,KSPO DOME,서울,송파구,2026-03-20,2026-03-29,6,콘서트,A,https://en.wikipedia.org/wiki/The_Dream_Show_4:_Dream_the_Future,수집
NCT,NCT WISH 1st CONCERT TOUR 'INTO THE WISH : Our WISH' ENCORE IN SEOUL,KSPO DOME,서울,송파구,2026-04-17,2026-04-19,3,콘서트,A,https://www.mksports.co.kr/news/entertain/11951462,수집
Stray Kids,Stray Kids 4th Fanmeeting 'SKZ's Magic School',KSPO DOME,서울,송파구,2024-03-29,2024-03-31,3,팬미팅,A,https://en.wikipedia.org/wiki/List_of_Stray_Kids_live_performances,수집
Stray Kids,Stray Kids World Tour 'dominATE' in SEOUL,KSPO DOME,서울,송파구,2024-08-24,2024-08-25,2,콘서트,A,https://en.wikipedia.org/wiki/Dominate_World_Tour,수집
Stray Kids,Stray Kids 5th Fanmeeting 'SKZ 5'Clock',인스파이어 아레나,인천,중구,2025-02-14,2025-02-16,3,팬미팅,A,https://en.wikipedia.org/wiki/List_of_Stray_Kids_live_performances,수집
Stray Kids,Stray Kids World Tour 'dominATE: celebrATE' in INCHEON,인천아시아드주경기장,인천,서구,2025-10-18,2025-10-19,2,콘서트,A,https://en.wikipedia.org/wiki/Dominate_World_Tour,수집
Stray Kids,Stray Kids 6th Fanmeeting 'Stay in Our Little House',인스파이어 아레나,인천,중구,2026-03-28,2026-04-05,1,팬미팅,A,https://en.wikipedia.org/wiki/List_of_Stray_Kids_live_performances,수집
Stray Kids,SBS 가요대전 SUMMER 2026 출연,,경기,고양시,2026-08-09,2026-08-09,1,페스티벌출연,B,https://en.wikipedia.org/wiki/List_of_Stray_Kids_live_performances,수집
SEVENTEEN,SEVENTEEN TOUR 'FOLLOW' AGAIN TO INCHEON,인천아시아드주경기장,인천,서구,2024-03-30,2024-03-31,2,콘서트,A,https://en.wikipedia.org/wiki/Follow_Tour,수집
SEVENTEEN,SEVENTEEN TOUR 'FOLLOW' AGAIN TO SEOUL,서울월드컵경기장,서울,마포구,2024-04-27,2024-04-28,2,콘서트,A,https://en.wikipedia.org/wiki/Follow_Tour,수집
SEVENTEEN,SEVENTEEN WORLD TOUR [RIGHT HERE] IN GOYANG,고양종합운동장,경기,고양시,2024-10-12,2024-10-13,2,콘서트,A,https://en.wikipedia.org/wiki/Right_Here_World_Tour,수집
SEVENTEEN,SEVENTEEN WORLD TOUR [NEW_] IN INCHEON,인천아시아드주경기장,인천,서구,2025-09-13,2025-09-14,2,콘서트,A,https://en.wikipedia.org/wiki/New_World_Tour,수집
SEVENTEEN,SEVENTEEN WORLD TOUR [NEW_] ENCORE IN INCHEON,인천아시아드주경기장,인천,서구,2026-04-04,2026-04-05,2,콘서트,A,https://en.wikipedia.org/wiki/New_World_Tour,수집
