팬덤,구분,근거문장수,광고성문장수,광고비중,대표업종,건강/의료,식음료,가정/생활,금융,자동차,미용,스포츠/레저,정보/통신,여행,비즈니스/산업,쇼핑,엔터테인먼트,복지/행정,부동산,교육,게임,패션/의류,뉴스,도서/참고자료,기타
aespa,K-pop 걸그룹,158,47,0.2975,미용,0,5,0,6,1,10,3,3,5,0,0,0,4,0,0,6,9,0,0,2
이효리,솔로,120,47,0.3917,식음료,3,10,5,3,5,5,4,4,0,0,9,1,0,1,3,2,4,0,0,4
TWICE,K-pop 걸그룹,191,38,0.199,패션/의류,0,3,0,2,0,12,0,2,1,0,1,0,1,0,0,3,13,0,0,4
BTS,K-pop 보이그룹,227,37,0.163,패션/의류,1,1,1,3,2,5,2,4,2,0,1,2,4,0,0,0,6,0,0,5
NewJeans,K-pop 걸그룹,154,36,0.2338,패션/의류,0,8,0,2,0,5,4,4,3,0,1,1,3,0,1,0,16,0,0,2
소녀시대,K-pop 걸그룹,122,36,0.2951,복지/행정,1,2,2,3,0,1,1,5,1,0,2,0,6,0,0,6,3,0,0,4
임영웅,트로트,131,31,0.2366,기타,3,5,2,6,3,1,0,0,0,0,0,0,3,0,0,1,0,0,0,8
Stray Kids,K-pop 보이그룹,163,30,0.184,패션/의류,0,3,0,0,0,7,1,1,2,0,1,1,3,1,0,0,14,0,0,1
이영지,힙합,107,28,0.2617,미용,2,5,0,0,0,9,1,0,0,0,0,0,5,0,0,0,8,0,0,0
지드래곤 (G-Dragon),힙합,133,27,0.203,패션/의류,0,1,0,1,0,0,1,4,0,0,0,0,8,0,0,1,11,0,0,0
리센느(RESCENE),K-pop 걸그룹,85,26,0.3059,복지/행정,0,8,0,0,0,1,0,2,0,0,0,0,9,0,0,2,1,0,0,3
아이유,솔로,110,25,0.2273,스포츠/레저,0,6,1,3,0,5,6,0,0,0,0,0,2,0,0,0,3,0,0,1
츄,솔로,93,24,0.2581,복지/행정,0,2,0,5,0,1,0,2,4,0,3,0,6,0,1,1,2,0,0,1
SEVENTEEN,K-pop 보이그룹,157,23,0.1465,패션/의류,0,3,0,0,0,3,0,1,0,0,0,0,5,0,0,1,10,0,0,0
BLACKPINK,K-pop 걸그룹,195,22,0.1128,여행,0,2,0,2,2,1,0,1,6,0,3,0,4,0,0,3,6,0,0,1
LE SSERAFIM,K-pop 걸그룹,143,21,0.1469,패션/의류,0,4,0,0,0,6,1,5,0,0,0,0,0,0,0,1,7,0,0,0
RIIZE,K-pop 보이그룹,121,21,0.1736,패션/의류,0,2,0,2,0,4,0,1,1,0,2,1,4,0,0,0,7,0,0,1
엔믹스,K-pop 걸그룹,110,21,0.1909,패션/의류,1,1,0,0,0,4,2,3,0,0,0,0,1,0,0,3,7,0,0,0
이찬원,트로트,106,21,0.1981,건강/의료,8,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7
Hearts2Hearts,K-pop 걸그룹,102,20,0.1961,복지/행정,0,2,0,2,4,1,0,1,1,0,3,0,5,0,0,0,2,0,0,0
영탁,트로트,104,20,0.1923,복지/행정,0,2,0,2,0,0,0,4,7,0,0,0,11,2,0,2,0,0,0,1
워너원,K-pop 보이그룹,123,20,0.1626,미용,1,2,0,3,0,4,1,1,0,0,1,0,2,0,0,2,2,0,0,2
송가인,트로트,92,19,0.2065,복지/행정,2,3,0,1,1,0,0,1,1,0,1,1,8,0,0,0,0,0,0,1
싸이,솔로,122,19,0.1557,복지/행정,2,5,0,4,0,1,0,2,0,0,0,0,5,0,0,0,0,0,0,1
EXO,K-pop 보이그룹,121,18,0.1488,복지/행정,0,2,0,0,1,2,0,1,2,0,0,0,6,0,0,0,5,0,0,1
NCT,K-pop 보이그룹,164,18,0.1098,패션/의류,0,1,0,2,0,0,2,1,3,0,1,1,2,0,0,0,4,0,0,3
오마이걸,K-pop 걸그룹,98,18,0.1837,복지/행정,0,2,0,2,0,0,0,3,1,0,0,0,7,0,4,4,0,0,0,0
정동원,트로트,107,18,0.1682,복지/행정,1,6,0,0,0,0,0,0,0,1,0,0,8,0,0,0,0,0,0,2
최예나,솔로,96,18,0.1875,게임,5,0,0,0,0,6,0,0,0,0,0,0,3,0,3,6,1,0,0,0
(여자)아이들,K-pop 걸그룹,118,17,0.1441,미용,0,1,1,0,0,5,0,1,1,0,2,1,2,0,0,0,3,0,0,0
QWER,K-pop 걸그룹,103,17,0.165,게임,0,1,0,1,0,0,0,2,3,0,0,0,2,0,0,8,0,0,0,0
빅뱅,K-pop 보이그룹,97,17,0.1753,복지/행정,0,0,0,1,4,0,2,1,2,0,2,0,4,0,0,1,2,0,0,0
GOT7,K-pop 보이그룹,107,15,0.1402,패션/의류,0,1,1,0,1,2,2,4,1,0,2,0,1,0,0,0,4,0,0,2
IVE,K-pop 걸그룹,100,15,0.15,미용,0,2,0,1,0,6,2,0,0,0,0,0,1,0,0,0,4,0,0,0
마마무,K-pop 걸그룹,94,15,0.1596,식음료,0,5,0,0,0,1,0,3,0,0,0,0,1,0,1,3,0,0,0,1
지코,힙합,101,15,0.1485,미용,0,3,0,0,0,5,3,0,0,0,0,1,2,0,0,0,2,0,0,0
ATEEZ,K-pop 보이그룹,113,14,0.1239,패션/의류,1,1,0,0,0,0,1,0,2,0,1,0,3,1,0,0,6,0,0,1
권은비,솔로,90,14,0.1556,미용,0,2,1,0,0,7,1,0,0,0,0,0,0,0,0,0,4,0,0,1
아일릿,K-pop 걸그룹,107,14,0.1308,미용,0,3,0,2,0,4,0,1,0,0,0,2,2,0,3,0,4,0,0,0
슈퍼주니어,K-pop 보이그룹,89,13,0.1461,복지/행정,0,1,0,1,1,0,0,1,4,0,0,0,10,0,0,0,0,0,0,0
청하,솔로,79,13,0.1646,게임,1,1,0,1,2,2,2,2,0,0,0,1,1,0,0,3,2,0,0,0
레드벨벳,K-pop 걸그룹,118,12,0.1017,미용,1,2,0,0,2,2,1,0,0,0,1,0,1,0,0,2,1,0,0,1
이문세,발라드,70,12,0.1714,자동차,0,1,0,3,5,0,1,3,0,2,0,0,0,0,2,0,1,0,0,0
조용필,발라드,81,12,0.1481,정보/통신,0,6,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1
A-pink,K-pop 걸그룹,95,11,0.1158,게임,0,0,0,0,0,0,0,1,0,1,1,0,4,0,0,5,1,0,0,0
박재범,힙합,110,11,0.1,복지/행정,1,1,0,0,0,0,1,0,1,0,0,0,4,0,0,0,3,0,0,1
비비,솔로,74,11,0.1486,식음료,1,3,0,0,0,1,2,0,0,0,0,1,0,0,1,1,1,0,0,0
아이오아이,K-pop 걸그룹,95,11,0.1158,미용,0,1,0,2,0,2,0,1,0,0,2,1,0,0,0,2,1,0,0,0
윤도현,록,71,11,0.1549,기타,0,1,0,0,1,0,0,1,0,0,3,0,3,0,0,0,0,0,0,3
CORTIS,K-pop 보이그룹,135,10,0.0741,미용,1,1,0,0,0,3,2,2,1,0,0,0,0,0,0,0,1,0,0,1
ITZY,K-pop 걸그룹,107,10,0.0935,식음료,0,3,0,1,0,1,1,0,1,0,0,0,1,0,0,1,2,0,0,0
STAYC,K-pop 걸그룹,92,10,0.1087,게임,0,0,1,0,0,3,0,0,0,0,0,0,1,0,0,6,0,0,0,0
로이킴,발라드,89,10,0.1124,자동차,0,1,0,0,3,0,0,0,0,0,0,2,2,0,0,2,1,0,0,1
박서진,트로트,99,10,0.101,패션/의류,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,6,0,0,0
성시경,발라드,80,10,0.125,복지/행정,1,3,0,0,0,2,0,0,1,0,0,0,3,0,0,0,0,0,0,1
프로미스나인,K-pop 걸그룹,89,10,0.1124,미용,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,3,2,0,0,0
BABYMONSTER,K-pop 걸그룹,132,9,0.0682,식음료,0,3,0,0,0,2,2,3,0,0,0,0,0,0,0,0,2,0,0,0
Crush,솔로,99,9,0.0909,미용,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0
HOT,원로그룹,97,9,0.0928,쇼핑,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1
엄정화,솔로,71,9,0.1268,건강/의료,4,2,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
장윤정,트로트,92,9,0.0978,건강/의료,4,0,0,3,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0
카더가든,솔로,74,9,0.1216,금융,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BTOB,K-pop 보이그룹,82,8,0.0976,여행,0,0,0,1,0,0,0,0,3,0,2,0,2,0,0,2,0,0,0,0
DAY6,K-pop 보이그룹 /록,101,8,0.0792,패션/의류,0,1,0,0,3,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0
여자친구,K-pop 걸그룹,93,8,0.086,쇼핑,0,1,0,0,0,0,1,0,1,0,2,0,1,0,0,1,1,0,0,0
김재중,솔로,77,7,0.0909,미용,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0
샤이니,K-pop 보이그룹,77,7,0.0909,복지/행정,1,1,0,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0,0,0
윤하,솔로,83,7,0.0843,복지/행정,0,0,0,0,0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0
김연자,트로트,73,6,0.0822,복지/행정,3,0,3,0,0,3,0,0,0,0,0,0,3,3,0,0,0,0,0,0
김호중,트로트,91,6,0.0659,기타,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2
몬스타엑스,K-pop 보이그룹,96,6,0.0625,미용,0,0,0,1,0,2,1,0,0,0,0,0,1,0,0,0,2,0,0,0
볼빨간사춘기,솔로,88,6,0.0682,쇼핑,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
CNBLUE,K-pop 보이그룹 /록,84,5,0.0595,복지/행정,0,1,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0
다비치,발라드,80,5,0.0625,식음료,0,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
동방신기,K-pop 보이그룹,82,5,0.061,복지/행정,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
박정현,발라드,70,5,0.0714,복지/행정,0,0,0,0,0,1,0,0,1,0,0,0,4,0,0,0,0,0,0,0
박효신,발라드,91,5,0.0549,건강/의료,3,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
백지영,발라드,72,5,0.0694,패션/의류,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0
빅마마,발라드,73,5,0.0685,자동차,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
악동뮤지션,혼성,74,5,0.0676,미용,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0
에픽하이,힙합,87,5,0.0575,식음료,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
이승철,발라드,78,5,0.0641,스포츠/레저,0,0,0,0,0,0,3,0,3,0,0,0,2,0,0,0,0,0,0,0
10CM,솔로,85,4,0.0471,복지/행정,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0
FTISLAND,K-pop 보이그룹 /록,73,4,0.0548,복지/행정,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0
IKON,K-pop 보이그룹,96,4,0.0417,스포츠/레저,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1
케이윌,발라드,71,4,0.0563,복지/행정,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0
다이나믹듀오,힙합,68,3,0.0441,금융,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
브라운아이즈,발라드,82,3,0.0366,복지/행정,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
빈지노,힙합,79,3,0.038,정보/통신,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
잭스키스,원로그룹,85,3,0.0353,복지/행정,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1
sg워너비,발라드,75,2,0.0267,복지/행정,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
거미,발라드,87,2,0.023,엔터테인먼트,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
보아,솔로,76,2,0.0263,복지/행정,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0
잔나비,록,69,2,0.029,식음료,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zion.T,솔로,79,1,0.0127,기타,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
god,원로그룹,99,1,0.0101,식음료,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
린,발라드,78,1,0.0128,기타,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
투어스(TWS),K-pop 보이그룹,90,1,0.0111,식음료,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
김동률,발라드,83,0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
나훈아,트로트,70,0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
