팬덤,근거문장수,총지역언급,검출지역수,지역다양성,대표지역,대표지역비중,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주
싸이,122,43,10,0.588,강원,0.163,6,6,5,4,3,3,0,0,5,7,0,0,3,0,1,0,0
이승철,78,38,9,0.529,경기,0.158,5,4,4,5,3,2,0,0,6,4,5,0,0,0,0,0,0
박서진,99,31,11,0.647,서울,0.258,8,3,4,2,2,2,0,0,1,0,1,1,0,0,4,3,0
송가인,92,31,6,0.353,전남,0.742,1,0,1,0,1,0,0,0,0,0,0,0,3,23,2,0,0
나훈아,70,30,9,0.529,서울,0.333,10,6,5,4,1,0,1,0,0,0,1,0,0,0,1,1,0
god,99,28,4,0.235,서울,0.536,15,8,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
임영웅,131,28,12,0.706,서울,0.214,6,3,2,3,2,3,0,0,3,1,0,1,0,0,1,1,2
거미,87,26,13,0.765,서울,0.192,5,1,2,1,5,0,1,0,4,0,1,1,1,2,0,1,1
빅마마,73,26,7,0.412,서울,0.269,7,5,4,0,0,1,4,0,0,0,0,0,4,0,1,0,0
김연자,73,25,8,0.471,광주,0.28,6,4,1,1,7,0,0,0,2,0,0,0,1,3,0,0,0
잭스키스,85,24,6,0.353,부산,0.458,7,11,2,0,1,0,0,0,2,0,1,0,0,0,0,0,0
리센느(RESCENE),85,22,5,0.294,경남,0.636,1,0,0,0,0,2,0,0,3,0,0,0,0,0,2,14,0
악동뮤지션,74,21,9,0.529,서울,0.333,7,2,2,1,2,1,0,0,2,0,0,0,0,2,0,2,0
영탁,104,21,7,0.412,서울,0.286,6,2,2,2,0,0,3,0,0,0,0,0,4,0,2,0,0
이문세,70,21,10,0.588,서울,0.238,5,3,3,0,2,2,0,0,1,1,0,0,1,0,1,2,0
정동원,107,20,9,0.529,경남,0.3,2,3,3,1,1,1,0,0,2,0,0,0,1,0,0,6,0
조용필,81,20,6,0.353,서울,0.3,6,4,3,2,1,0,0,0,4,0,0,0,0,0,0,0,0
QWER,103,19,6,0.353,서울,0.684,13,1,1,1,0,0,0,0,1,0,0,2,0,0,0,0,0
다이나믹듀오,68,19,6,0.353,서울,0.316,6,4,4,1,3,0,0,0,0,0,0,0,1,0,0,0,0
이영지,107,19,10,0.588,서울,0.421,8,3,1,1,1,0,1,0,0,1,0,0,1,0,1,1,0
sg워너비,75,18,7,0.412,서울,0.5,9,2,2,1,1,2,0,0,0,0,0,0,1,0,0,0,0
