,가맹시,가맹구,음식,관광/쇼핑,레저활동,공연/전시,숙박,엔트로피,엔트로피극대화지수
0,강원,강릉시,0.986,0.18,1.255,1.221,2.613,0.8237,0.5118
1,강원,고성군,0.714,0.155,27.669,0.0,2.162,1.1045,0.6862
2,강원,동해시,1.401,0.717,0.141,0.0,1.308,1.0919,0.6785
3,강원,삼척시,2.436,0.575,1.09,0.0,0.861,1.0999,0.6834
4,강원,속초시,0.643,0.134,0.438,0.0,2.958,0.6334,0.3936
5,강원,양구군,2.402,0.624,0.17,0.0,0.813,1.0688,0.6641
6,강원,양양군,0.563,0.089,39.301,0.0,2.091,1.0564,0.6564
7,강원,영월군,1.04,0.863,0.657,0.0,1.252,1.0656,0.6621
8,강원,원주시,1.466,0.502,1.754,0.019,1.644,1.1212,0.6967
9,강원,인제군,2.56,0.911,0.946,0.0,0.121,0.8507,0.5286
10,강원,정선군,0.353,0.056,0.289,0.0,3.311,0.3887,0.2415
11,강원,철원군,2.344,0.568,12.463,0.0,0.642,1.244,0.7729
12,강원,춘천시,1.671,0.668,32.265,0.0,0.386,1.305,0.8109
13,강원,태백시,2.583,0.673,17.872,0.0,0.133,1.103,0.6853
14,강원,평창군,0.514,0.137,6.37,0.0,2.886,0.7437,0.4621
15,강원,홍천군,0.815,0.305,82.438,0.0,0.371,1.1265,0.6999
16,강원,화천군,2.524,0.915,0.618,0.0,0.146,0.8574,0.5327
17,강원,횡성군,1.842,0.5,19.843,0.0,0.923,1.3428,0.8343
18,경기,가평군,2.536,0.575,18.449,0.0,0.342,1.2053,0.7489
19,경기,고양시,0.923,1.423,3.483,0.001,0.159,0.7362,0.4574
20,경기,과천시,1.191,1.095,27.215,0.0,0.004,0.9709,0.6033
21,경기,광명시,3.382,0.236,1.172,0.01,0.883,0.9383,0.583
22,경기,광주시,2.123,0.602,36.509,0.0,0.099,1.1793,0.7327
23,경기,구리시,3.21,0.641,0.501,0.128,0.222,0.8676,0.5391
24,경기,군포시,1.1,0.503,3.86,0.006,1.835,1.1222,0.6972
25,경기,김포시,0.412,1.587,0.503,0.079,0.261,0.5433,0.3376
26,경기,남양주시,1.08,1.422,3.439,0.217,0.055,0.6837,0.4248
27,경기,동두천시,1.587,1.278,0.544,0.013,0.071,0.7172,0.4456
