연도,가맹점광역시도,소비영역,VLM,지역전체소비,전국영역소비,전국전체소비,지역비중,전국비중,LQ,엔트로피기여도,엔트로피,EQ
2025,강원,숙박,675911621521.0,12139874249886.0,5504707542350.0,636613639290625.0,0.05568,0.00865,6.439,0.16081131576138857,1.1738,0.7293
2025,강원,음식,5821860650181.0,12139874249886.0,142466028322281.0,636613639290625.0,0.47957,0.22379,2.143,0.35241940463150556,1.1738,0.7293
2025,강원,공연/전시,124856831981.0,12139874249886.0,4549638109282.0,636613639290625.0,0.01028,0.00715,1.439,0.04705726559485861,1.1738,0.7293
2025,강원,레저활동,1373762707936.0,12139874249886.0,54342708662498.0,636613639290625.0,0.11316,0.08536,1.326,0.24657026858321887,1.1738,0.7293
2025,강원,관광/쇼핑,4143482438267.0,12139874249886.0,429750556654214.0,636613639290625.0,0.34131,0.67506,0.506,0.36689600508134546,1.1738,0.7293
2025,경기,레저활동,14694330471724.0,159366693798733.0,54342708662498.0,636613639290625.0,0.0922,0.08536,1.08,0.2197859126842861,0.8804,0.547
2025,경기,공연/전시,1168988143506.0,159366693798733.0,4549638109282.0,636613639290625.0,0.00734,0.00715,1.026,0.03607181664285093,0.8804,0.547
2025,경기,음식,35989855948904.0,159366693798733.0,142466028322281.0,636613639290625.0,0.22583,0.22379,1.009,0.3360288918127849,0.8804,0.547
2025,경기,관광/쇼핑,106924035079872.0,159366693798733.0,429750556654214.0,636613639290625.0,0.67093,0.67506,0.994,0.26776176860768097,0.8804,0.547
2025,경기,숙박,589484154727.0,159366693798733.0,5504707542350.0,636613639290625.0,0.0037,0.00865,0.428,0.020717863099528246,0.8804,0.547
2025,경남,음식,6182558132653.0,13888046969382.0,142466028322281.0,636613639290625.0,0.44517,0.22379,1.989,0.36027565688475693,1.0959,0.6809
2025,경남,숙박,194629243592.0,13888046969382.0,5504707542350.0,636613639290625.0,0.01401,0.00865,1.621,0.05979445470005143,1.0959,0.6809
2025,경남,레저활동,1775213827312.0,13888046969382.0,54342708662498.0,636613639290625.0,0.12782,0.08536,1.497,0.26294264480342333,1.0959,0.6809
2025,경남,공연/전시,140920801834.0,13888046969382.0,4549638109282.0,636613639290625.0,0.01015,0.00715,1.42,0.046591357970967556,1.0959,0.6809
2025,경남,관광/쇼핑,5594724963991.0,13888046969382.0,429750556654214.0,636613639290625.0,0.40284,0.67506,0.597,0.36626850020457147,1.0959,0.6809
2025,경북,숙박,213723970515.0,10579044583627.0,5504707542350.0,636613639290625.0,0.0202,0.00865,2.336,0.07882186802641455,1.0992,0.683
