,가맹점광역시도,음식_LQ,관광/쇼핑_LQ,레저활동_LQ,공연/전시_LQ,숙박_LQ,엔트로피,엔트로피극대화지수
0,강원,2.143,0.506,1.326,1.439,6.439,1.1738,0.7293
1,경기,1.009,0.994,1.08,1.026,0.428,0.8803,0.547
2,경남,1.989,0.597,1.497,1.42,1.621,1.0959,0.6809
3,경북,2.065,0.58,1.357,1.427,2.336,1.0992,0.683
4,광주,1.649,0.744,1.316,1.457,0.68,1.037,0.6443
5,대구,1.338,0.831,1.41,1.301,1.114,1.0282,0.6389
6,대전,1.22,0.931,1.006,1.047,0.627,0.9222,0.573
7,부산,1.539,0.783,1.14,1.269,2.385,1.0535,0.6546
8,서울,0.573,1.176,0.784,0.824,0.601,0.6853,0.4258
9,세종,1.92,0.494,2.557,1.651,0.821,1.1489,0.7138
10,울산,2.057,0.575,1.536,1.223,1.373,1.0849,0.6741
11,인천,1.86,0.639,1.501,1.238,1.781,1.0969,0.6815
12,전남,2.088,0.593,1.205,1.307,2.366,1.0792,0.6706
13,전북,2.013,0.616,1.225,1.429,2.177,1.0818,0.6721
14,제주,1.82,0.62,1.103,1.384,8.095,1.1847,0.7361
15,충남,2.064,0.601,1.21,1.309,2.272,1.0782,0.6699
16,충북,1.984,0.597,1.539,1.19,1.512,1.0907,0.6777
