팬덤,근거문장수,총언어언급,검출언어수,언어다양성,해외근거문장수,해외비중,검출해외언어수,해외언어다양성,대표해외언어,대표해외언어비중,한국어,영어,일본어,중국어,스페인어,프랑스어,태국어,인도네시아어,베트남어,러시아어,필리핀어,포르투갈어,튀르키예어,아랍어
BLACKPINK,195,195,14,0.752,135,0.692,13,0.77,영어,0.407,60,55,10,15,15,1,14,4,7,4,3,3,2,2
BTS,227,227,13,0.638,135,0.595,12,0.66,영어,0.526,92,71,15,5,16,4,0,5,1,4,3,6,3,2
Stray Kids,163,163,13,0.658,129,0.791,12,0.603,영어,0.589,34,76,9,2,11,1,4,8,0,9,3,4,1,1
TWICE,191,191,13,0.666,116,0.607,12,0.698,영어,0.379,75,44,25,20,9,0,4,2,1,2,3,4,1,1
SEVENTEEN,157,157,13,0.573,111,0.707,12,0.5,영어,0.685,46,76,6,10,5,1,1,3,1,0,3,2,1,2
NewJeans,154,154,13,0.634,108,0.701,12,0.591,영어,0.593,46,64,3,12,9,3,2,0,7,1,2,3,1,1
NCT,164,164,14,0.685,101,0.616,13,0.722,영어,0.426,63,43,11,19,4,1,7,4,2,1,4,3,1,1
LE SSERAFIM,143,143,13,0.7,97,0.678,12,0.701,영어,0.402,46,39,24,6,9,1,2,6,0,3,2,2,1,2
aespa,158,158,12,0.603,79,0.5,11,0.701,영어,0.456,79,36,6,11,10,0,3,3,2,0,2,3,1,2
ATEEZ,113,113,12,0.606,78,0.69,11,0.554,영어,0.628,35,49,5,0,8,1,4,2,0,1,3,3,1,1
(여자)아이들,118,118,11,0.616,77,0.653,10,0.586,영어,0.429,41,33,2,27,2,0,4,1,0,0,2,3,1,2
BABYMONSTER,132,132,13,0.65,76,0.576,12,0.7,영어,0.368,56,28,19,5,2,1,12,1,0,2,2,2,1,1
RIIZE,121,121,13,0.629,74,0.612,12,0.632,영어,0.5,47,37,17,3,3,1,2,1,0,3,1,4,1,1
GOT7,107,107,10,0.524,73,0.682,9,0.434,영어,0.726,34,53,0,4,3,1,5,0,0,0,3,2,1,1
ITZY,107,107,12,0.685,73,0.682,11,0.675,영어,0.507,34,37,7,5,6,0,0,5,1,3,5,2,1,1
투어스(TWS),90,90,9,0.501,70,0.778,8,0.398,영어,0.729,20,51,8,0,1,1,1,3,0,0,4,0,0,1
IVE,100,100,13,0.683,69,0.69,12,0.669,영어,0.536,31,37,8,5,3,0,3,2,1,2,2,3,1,2
레드벨벳,118,118,13,0.704,68,0.576,12,0.797,영어,0.353,50,24,7,4,6,3,11,4,3,0,3,1,1,1
CORTIS,135,135,13,0.653,64,0.474,12,0.849,영어,0.234,71,15,7,12,4,1,9,5,2,3,3,2,0,1
몬스타엑스,96,96,11,0.697,64,0.667,10,0.703,영어,0.297,32,19,19,4,10,1,2,3,1,0,0,4,0,1
워너원,123,123,13,0.641,63,0.512,12,0.76,영어,0.381,60,24,7,7,1,1,10,3,4,2,2,0,1,1
엔믹스,110,110,13,0.679,62,0.564,12,0.766,영어,0.387,48,24,2,2,7,1,9,7,0,2,3,3,1,1
지드래곤 (G-Dragon),133,133,14,0.618,61,0.459,13,0.801,영어,0.344,72,21,8,11,4,2,1,2,4,1,3,2,1,1
EXO,121,121,14,0.631,60,0.496,13,0.763,영어,0.417,61,25,2,11,3,1,2,4,2,2,4,2,1,1
소녀시대,122,122,13,0.588,60,0.492,12,0.682,영어,0.433,62,26,13,8,2,1,1,1,2,1,3,0,1,1
Hearts2Hearts,102,102,10,0.572,59,0.578,9,0.558,영어,0.492,43,29,6,3,1,1,0,16,0,0,1,0,1,1
아일릿,107,107,12,0.628,58,0.542,11,0.696,영어,0.379,49,22,14,4,1,1,6,6,1,0,1,0,1,1
CNBLUE,84,84,13,0.713,56,0.667,12,0.729,영어,0.411,28,23,12,5,1,2,1,3,2,0,3,1,2,1
IKON,96,96,12,0.681,56,0.583,11,0.747,영어,0.411,40,23,2,0,7,3,7,5,2,0,3,2,1,1
싸이,122,122,12,0.576,56,0.459,11,0.704,영어,0.5,66,28,2,5,4,2,3,0,3,3,3,0,2,1
여자친구,93,93,12,0.694,56,0.602,11,0.751,영어,0.357,37,20,9,6,2,1,7,6,0,1,2,0,1,1
프로미스나인,89,89,12,0.655,56,0.629,11,0.662,영어,0.536,33,30,4,4,4,2,1,4,0,3,1,0,1,2
DAY6,101,101,13,0.645,55,0.545,12,0.725,영어,0.436,46,24,3,1,2,2,10,5,0,1,3,2,1,1
BTOB,82,82,12,0.656,52,0.634,11,0.661,영어,0.519,30,27,2,5,1,0,5,5,2,1,2,0,1,1
마마무,94,94,13,0.646,52,0.553,12,0.717,영어,0.5,42,26,2,4,4,1,3,3,0,2,3,2,1,1
아이유,110,110,13,0.601,51,0.464,12,0.753,영어,0.392,59,20,8,8,3,1,1,2,1,2,2,0,2,1
A-pink,95,95,12,0.612,50,0.526,11,0.684,영어,0.48,45,24,4,7,1,1,4,4,1,0,2,0,1,1
Crush,99,99,9,0.596,48,0.485,8,0.707,영어,0.354,51,17,8,4,2,4,6,6,0,0,0,1,0,0
박재범,110,110,13,0.62,48,0.436,12,0.849,영어,0.292,62,14,3,6,2,2,4,4,7,0,2,2,1,1
10CM,85,85,9,0.557,47,0.553,8,0.553,영어,0.596,38,28,4,5,1,2,0,3,2,0,2,0,0,0
빅뱅,97,97,12,0.592,47,0.485,11,0.699,영어,0.468,50,22,6,1,1,0,3,0,5,1,3,3,1,1
샤이니,77,77,13,0.686,47,0.61,12,0.729,영어,0.447,30,21,1,1,5,2,0,7,1,2,3,2,1,1
지코,101,101,10,0.549,47,0.465,9,0.636,영어,0.447,54,21,9,7,2,1,4,1,0,0,0,0,1,1
QWER,103,103,10,0.533,45,0.437,9,0.643,영어,0.444,58,20,3,10,2,1,1,5,0,2,0,0,0,1
동방신기,82,82,10,0.569,45,0.549,9,0.578,영어,0.511,37,23,11,2,1,1,1,2,0,0,3,0,1,0
STAYC,92,92,12,0.612,44,0.478,11,0.753,영어,0.364,48,16,5,4,1,1,4,8,0,0,2,1,1,1
보아,76,76,10,0.639,43,0.566,9,0.69,영어,0.349,33,15,10,7,4,1,2,2,1,0,0,0,0,1
비비,74,74,12,0.641,43,0.581,11,0.679,영어,0.488,31,21,6,4,1,1,3,3,1,0,1,0,1,1
이영지,107,107,11,0.54,43,0.402,10,0.728,영어,0.395,64,17,4,7,2,5,1,3,0,0,1,2,0,1
FTISLAND,73,73,10,0.551,42,0.575,9,0.523,영어,0.643,31,27,3,4,1,1,1,0,0,0,2,0,2,1
슈퍼주니어,89,89,12,0.576,42,0.472,11,0.685,영어,0.452,47,19,1,9,2,1,0,1,2,0,3,2,1,1
아이오아이,95,95,10,0.525,42,0.442,9,0.616,영어,0.452,53,19,2,8,1,1,8,0,1,0,1,0,1,0
이효리,120,120,8,0.409,40,0.333,7,0.517,영어,0.6,80,24,5,4,2,0,3,1,0,0,0,0,0,1
에픽하이,87,87,13,0.641,39,0.448,12,0.873,인도네시아어,0.179,48,6,6,6,2,4,2,7,1,0,1,2,1,1
오마이걸,98,98,14,0.558,39,0.398,13,0.784,영어,0.436,59,17,3,3,1,2,1,4,1,2,1,2,1,1
Zion.T,79,79,11,0.55,38,0.481,10,0.616,영어,0.526,41,20,3,7,2,1,1,1,1,0,1,0,0,1
권은비,90,90,7,0.408,36,0.4,6,0.394,영어,0.694,54,25,6,1,1,2,0,0,0,0,0,0,1,0
윤하,83,83,9,0.45,34,0.41,8,0.486,영어,0.618,49,21,7,0,1,1,0,1,0,1,0,0,1,1
청하,79,79,9,0.435,34,0.43,8,0.42,영어,0.735,45,25,1,0,2,1,0,2,0,0,1,0,1,1
츄,93,93,10,0.435,34,0.366,9,0.525,영어,0.647,59,22,1,2,3,1,0,0,1,1,0,2,0,1
악동뮤지션,74,74,9,0.462,30,0.405,8,0.523,영어,0.567,44,17,1,7,0,1,0,1,0,0,1,0,1,1
엄정화,71,71,5,0.371,30,0.423,4,0.274,영어,0.8,41,24,3,0,2,0,0,0,0,0,0,0,0,1
임영웅,131,131,7,0.311,29,0.221,6,0.514,영어,0.586,102,17,2,3,0,0,0,3,0,0,3,0,1,0
최예나,96,96,8,0.37,27,0.281,7,0.529,영어,0.593,69,16,2,3,1,1,3,1,0,0,0,0,0,0
케이윌,71,71,9,0.463,27,0.38,8,0.571,영어,0.556,44,15,4,3,1,0,0,0,0,1,1,0,1,1
다비치,80,80,7,0.379,26,0.325,6,0.444,영어,0.654,54,17,1,4,2,1,0,0,1,0,0,0,0,0
백지영,72,72,7,0.421,26,0.361,6,0.493,영어,0.615,46,16,0,2,0,2,0,0,3,0,1,0,0,2
로이킴,89,89,5,0.312,24,0.27,4,0.35,영어,0.708,65,17,3,3,1,0,0,0,0,0,0,0,0,0
리센느(RESCENE),85,85,7,0.357,24,0.282,6,0.481,영어,0.625,61,15,2,3,1,0,0,2,0,0,0,0,0,1
god,99,99,7,0.31,23,0.232,6,0.463,영어,0.652,76,15,1,2,0,1,0,0,2,0,0,0,2,0
성시경,80,80,5,0.32,22,0.275,4,0.362,영어,0.682,58,15,4,2,0,0,0,0,0,0,0,0,0,1
조용필,81,81,6,0.352,22,0.272,5,0.495,영어,0.545,59,12,3,4,1,2,0,0,0,0,0,0,0,0
이찬원,106,106,5,0.252,21,0.198,4,0.33,영어,0.714,85,15,4,1,0,0,0,0,0,0,0,0,1,0
박효신,91,91,7,0.302,20,0.22,6,0.479,영어,0.6,71,12,1,1,4,0,0,0,0,0,0,0,1,1
볼빨간사춘기,88,88,6,0.313,20,0.227,5,0.498,영어,0.55,68,11,3,1,3,2,0,0,0,0,0,0,0,0
영탁,104,104,6,0.291,20,0.192,5,0.565,영어,0.3,84,6,2,1,0,0,0,0,0,0,6,0,5,0
HOT,97,97,6,0.274,19,0.196,5,0.455,영어,0.526,78,10,1,6,0,0,0,0,0,1,0,0,1,0
김재중,77,77,7,0.357,19,0.247,6,0.607,중국어,0.368,58,5,3,7,2,1,0,0,0,0,0,0,0,1
장윤정,92,92,5,0.27,19,0.207,4,0.386,영어,0.579,73,11,6,1,1,0,0,0,0,0,0,0,0,0
김호중,91,91,4,0.263,18,0.198,3,0.388,영어,0.556,73,10,4,4,0,0,0,0,0,0,0,0,0,0
이승철,78,78,4,0.279,18,0.231,3,0.331,영어,0.667,60,12,2,4,0,0,0,0,0,0,0,0,0,0
김동률,83,83,4,0.26,17,0.205,3,0.341,영어,0.647,66,11,4,2,0,0,0,0,0,0,0,0,0,0
정동원,107,107,4,0.224,17,0.159,3,0.374,영어,0.588,90,10,3,4,0,0,0,0,0,0,0,0,0,0
다이나믹듀오,68,68,7,0.33,16,0.235,6,0.54,영어,0.5,52,8,4,1,0,1,0,0,0,0,1,0,1,0
박정현,70,70,5,0.306,16,0.229,4,0.46,영어,0.5,54,8,3,4,0,1,0,0,0,0,0,0,0,0
잔나비,69,69,8,0.359,16,0.232,7,0.682,중국어,0.312,53,1,2,5,1,1,0,4,0,0,2,0,0,0
잭스키스,85,85,5,0.254,16,0.188,4,0.385,영어,0.625,69,10,4,1,1,0,0,0,0,0,0,0,0,0
거미,87,87,8,0.273,15,0.172,7,0.587,영어,0.533,72,8,0,2,1,1,0,0,1,0,0,0,1,1
