artist	title	venue	sido	sgg	start	end	n	type	conf	source
BABYMONSTER	2024 BABYMONSTER PRESENTS : SEE YOU THERE FINALE IN SEOUL	경희대학교 평화의전당	서울	동대문구	2024-08-10	2024-08-11	2	팬미팅	A	https://www.allkpop.com/article/2024/07/babymonsters-first-seoul-fan-meeting-expands-with-additional-seats
BABYMONSTER	BABYMONSTER 1st WORLD TOUR [HELLO MONSTERS] IN SEOUL	KSPO DOME	서울	송파구	2025-01-25	2025-01-26	2	콘서트	A	https://en.wikipedia.org/wiki/Hello_Monsters_World_Tour
BABYMONSTER	2026-27 BABYMONSTER WORLD TOUR [춤 (CHOOM)] IN SEOUL	잠실실내체육관	서울	송파구	2026-06-26	2026-06-28	3	콘서트	A	https://en.wikipedia.org/wiki/Choom_World_Tour
(여자)아이들	2024 (G)I-DLE WORLD TOUR [iDOL] IN SEOUL	KSPO DOME	서울	송파구	2024-08-03	2024-08-04	2	콘서트	A	https://en.wikipedia.org/wiki/I-dol_World_Tour
(여자)아이들	2026 i-dle WORLD TOUR [Syncopation] IN SEOUL	KSPO DOME	서울	송파구	2026-02-21	2026-02-22	2	콘서트	A	https://en.wikipedia.org/wiki/Syncopation_World_Tour
박서진	2025-26 박서진 전국투어 콘서트 <MY NAME IS SEOJIN> - 서울	코엑스 Hall D	서울	강남구	2025-12-27	2025-12-28	2	콘서트	A	https://www.stagepick.co.kr/performances/detail/210071
박서진	2025-26 박서진 전국투어 콘서트 <MY NAME IS SEOJIN> - 대전	DCC 대전컨벤션센터	대전	유성구	2026-01-10	2026-01-11	2	콘서트	A	https://www.stagepick.co.kr/performances/detail/210071
박서진	2025-26 박서진 전국투어 콘서트 <MY NAME IS SEOJIN> - 고양(일산)	킨텍스	경기	고양시	2026-02-21	2026-02-22	2	콘서트	A	https://www.stagepick.co.kr/performances/detail/210071
박서진	2025-26 박서진 전국투어 콘서트 <MY NAME IS SEOJIN> - 부산	BEXCO 오디토리움	부산	해운대구	2026-03-07	2026-03-08	2	콘서트	A	https://www.stagepick.co.kr/performances/detail/210071
박서진	2025-26 박서진 전국투어 콘서트 <MY NAME IS SEOJIN> - 광주	광주여자대학교 시립유니버시아드체육관	광주	광산구	2026-05-09	2026-05-10	2	콘서트	A	https://www.stagepick.co.kr/performances/detail/212513
박서진	2025-26 박서진 전국투어 콘서트 <MY NAME IS SEOJIN> - 대구	경북대학교 대강당	대구	북구	2026-06-13	2026-06-14	2	콘서트	A	https://www.stagepick.co.kr/performances/detail/210071
박서진	2025-26 박서진 전국투어 콘서트 <MY NAME IS SEOJIN> - 서울 앵콜	티켓링크 라이브 아레나	서울		2026-07-04	2026-07-05	2	콘서트	B	https://www.topstarnews.net/news/articleView.html?idxno=16062173
LE SSERAFIM	LE SSERAFIM FAN MEETING 'FEARNADA' 2024 S/S IN SEOUL	잠실실내체육관	서울	송파구	2024-05-11	2024-05-12	2	팬미팅	A	https://namu.wiki/w/LE%20SSERAFIM%20FAN%20MEETING%20'FEARNADA'%202024%20S/S
LE SSERAFIM	2025 LE SSERAFIM TOUR 'EASY CRAZY HOT' IN INCHEON	인스파이어 아레나	인천	중구	2025-04-19	2025-04-20	2	콘서트	A	https://en.wikipedia.org/wiki/Easy_Crazy_Hot_Tour
LE SSERAFIM	2025 LE SSERAFIM TOUR 'EASY CRAZY HOT' ENCORE IN SEOUL	잠실실내체육관	서울	송파구	2026-01-31	2026-02-01	2	콘서트	A	https://en.wikipedia.org/wiki/Easy_Crazy_Hot_Tour
